About the game,Genres
"Of Mice and Moggies is a smart puzzle game , where you play as a cat and try catch mice , rabbits and friends . They aren ' t caught easily , so you have to constantly figure out new ways to trap them , or play them out against each other . If you want to catch a rabbit , you have to think like a rabbit ! The levels can only be solved by being smart , but don ' t overwhelm you with a huge numbers of moving parts . You can build your own levels with the ingame level editor . The levels can be uploaded and made available for other players to enjoy , just like you can play the levels other people made . You can expect a theme park like campaign with over 1 0 0 challenging levels an ingame editor to create and share your own levels to play interesting community levels , made by other players relaxation with the extensive nature ambience a cat license showcasing your proficiency with medals minigames !",Indie
"Magnetic By Nature explores platforming without platforms . Experience a fast - paced , single - player adventure mixing fluid motion , split - second decision making , stylized machine - age visuals , and a dynamic soundscape . As the last remaining robot , journey through the forgotten ruins to reactivate your friends . Successfully funded on Kickstarter and winner of both the Best Developed Game and Audience Choice awards at the 2 0 1 3 Utah Game Wars competition , MBN is the debut title from Team Tripleslash .","Action,Adventure,Indie"
"Sylvio is a psychological horror game set in a tranquil , disturbing atmosphere . Ghost recorder Juliette Waters trespasses into an abandoned family park , shut down since a landslide in 1 9 7 1 . The voices of the deceased captured on her reel - to - reel recorder reveals a tale of an evil curse and a wicked family cult , currently living in the park . First - person horror with a multi - layered story 1 0 - 1 5 hours gameplay Open world exploration by foot or car Conduct seances , search for voices in the static , and analyze your recordings with a unique audio gameplay mechanic Full controller support Nominated as Best Original Game at the TIGA Awards Voice acting by critically acclaimed actress Maia Hansson Bergqvist Sylvio was originally released in 2 0 1 5 , and was re - released through an update with a completely remastered version in 2 0 1 6 .","Adventure,Indie"
"Start as Nothing , Become Anything . Create the most customizable character ever and take on ferocious monsters with your friends . Early Access Features Draw or upload your own art for your armor and weapons Mod your equipment with 8 0 pros and cons for custom abilities Hunt powerful and intelligent monsters Team up online with your friends Full Release Features Harvest the flora and fauna for their materials Learn new crafts and mods to build your perfect Artizen Take on missions for greater risks and rewards","Action,Indie,RPG,Early Access"
"Zen Trails is a relaxing , simple sand box in which you can do only one thing : draw lines . When you press play , the lines rotate to create beautiful designs . There are no puzzles , no objectives . It ' s simply an environment in which you can create beautiful spirographs , set to the most zen - inducing music and visuals . Zen Trails is very effective at relaxing and inspiring , as well as reducing anxiety . It gives the mind something to focus on which is low pressure yet still stimulating with a small amount of gentle math and a very satisfying payoff when seeing your designs come to life . And for those players who lived through the 9 0 ' s , perhaps a little nostalgia if they ever played with a spirograph maker . I ' m a solo dev and I really hope you enjoy this little project of mine . Features : - Intuitive click and drag design process - Robust tutorial , including tips for making designs beautiful - Copy - paste - Unlimited undo steps - All possible colors - Unlimited line thickness - Save and load designs - 1 0 autosave slots , saves every 3 minutes . - Light weight , can run on low end machines . - Very relaxing music","Casual,Simulation"
"Play Astroflux - a retro styled , action packed MMO space shooter . You start the game with a puny ' pew - pew ' - ship and start your journey to explore the huge Astroflux Universe . Team up with other players and take down the aggressive bosses and hordes of enemies while you search for new materials and scraps to upgrade your ship . Astroflux sports cozy arcade graphics paired with modern awesome particle effects . And , the soundtrack is great ! Enjoy and fly safe !","Action,Adventure,Free to Play,Massively Multiplayer,RPG"
"Deep game - play , you constantly have to adapt to how the enemy attacks and defends . Big variation in enemy types . The game offers numerous enemies with different attack patterns and weaknesses . If you enjoy the feeling of satisfaction when triumphing over a difficult foe this might be the game for you . Features Unique game - play mechanics and a real challenge 5 levels to beat with over 2 0 unique enemies to conquer Replay value in New Game and New Game Plus Set high - scores in an Endless Fighter Mode Controller support Customizable keyboard controls","Action,Adventure,Indie"
"It ' s time to get your blood up with some lightning - speed FPS action ! Double - jump , wall - run , slide , and shoot your way to victory in PvP , Co - op , and single - player . In CF 6 9 , the fastest way to die is to stop moving . So don ' t . Single - player : The Cyber - Nazis have come , and Cyber - Frank is pissed . Grab your hyperspace arsenal and get to fragging ranks of fascist assholes . Multiplayer : Play classic game modes like Free - For - All , Capture - the - Flag , and Team - Deathmatch , or test your platforming skills in Death - Relay . Small 6 - player maps keep things ultra - fast , so you ' d best start practicing , You ' re gonna need it . Guns ' n Skins : Unlock guns and skins to take into any match or level !","Action,Early Access"
"In PITCH - HIT : BASEBALL you can can your own hits , break stuff with baseballs , and so much more ! Unlock each new level and try to top your own high score or the high scores from people around the world with our online leaderboards ! Choose how you want to bat with our 3 pitching modes . T - BALL , Pitcher , and Self - Pitch ! Visit the SPACE level to experience Baseball in low gravity ! Other levels include HOOPS , DUCKS , CATCH , JUGGLE , RAMPAGE and HOMERUN DERBY . Fun for all ages ! SUPER - REAL Physics ! Multiple Levels and Challenges ! Multiple Pitching Modes ! Multiple Bat - Holding Modes ! Point based and Survival based levels ! Online and Local Leaderboards for every level ! Works with 1 or 2 controllers ! Works with Vive Tracker and HTC Racket accessory MULTIPLAYER coming soon !","Action,Indie,Simulation,Sports,Strategy"
Hexanome is a turn - based puzzle game . It ' s a sequel to the previous game Hexa Turn . This time you play as a triangle and AI tries to stop you . Pick your next move carefully in order to collect all squares and outsmart the AI . Hexanome contains 7 6 fresh and challenging puzzles . Can you outsmart the AI again ? Key Features Clever puzzle experience Carefully crafted 7 6 unique levels Beautifully designed minimalist visuals Calming music and sound effects 1 4 Steam achievements,"Casual,Indie,Strategy"
"Be a King and rally your countrymen to fight on the field of battle . Build an army and survive as long as you can while defeating the invading enemies , kill points are multiplied by the size of your army at the time of the kill .",Action
"E . Z is a simple hardcore platformer game the goal being get across to the other side of each of the 1 0 0 levels while each death throws you back to the previous levels . With a semi - random level sequence , level variability and quick level swapping , E . Z is hard to get used to . It will bring a challenge to your skill , reaction , and adaptability . Minimalistic at its best , visually eye Pleasing Simple controls Challenging gameplay Chiptunes by RoccoW and Rolemusic IJWTHF gamemode for casual players",Indie
"Teleport , shift through bullets , and master lightning - fast takedowns in an all new kind of action game from tinyBuild and Team Shifty ! Shift through walls , through bullets , cover huge distances and be everywhere at once One shot kills . Survive on skills . Use distraction , trickery , explore what ' s possible when stealth and action become one ! Toy with enemies , laugh as they use doors to enter rooms Underestimate enemies , and cry as they use group tactics to outsmart Shifty A group of industry veterans behind 2 1 games , from GameBoy Advance to Xbox 3 6 0 , have joined together to raise the bar for independent games : Team Shifty ' s action - packed debut is a must play !","Action,Adventure,Indie"
"Effie is a 3 D action - adventure game that combines classic elements from the genre , such as combat , platforming , and puzzles , with the exploration of an expanded world . Live a unique fantasy adventure , free the cities from a powerful and dark evil , and relive the look and feel of old - school video - games ! Experience a unique adventure Delve into the adventure of Galand , a young man in his quest to recover his youth after a witch cursed him with premature old age . Defeat all the sinister creatures , overcome all the platforming challenges and solve the most complex puzzles ! Runestone , your travel companion A powerful black magic controls the cities of the region of Oblena . To face evil , you will carry a magic shield that will allow you to defend yourself , to fight and to surf across the red grassland . It will gradually grow in power and skills ! Relive the feeling of old - school video - games We all have fond memories of those incredible classic 3 D action - adventure games . We have used those references to bring those sensations back to life again , but with modern graphics , controls and game - play ! Effie is inspired by games like : Ratchet and Clank A Hat in Time The Legend of Zelda - Saga RiME Abzu Yooka - Laylee Rayman - Saga Spyro Crash Bandicoot","Action,Adventure,Casual,Indie"
"In GREYHAT , you play as yourself , an infamous hacker - for - hire with skills and abilities that allow you to infiltrate any computer . One day , you complete a job only to discover that you have crossed some very powerful people , and in their revenge your daughter is taken . To right this wrong you must hack into other people ' s computers , look through their files , read their emails , mess with their software , and find clues that may lead you closer to bringing your daughter home . In GREYHAT , you will : Steal from a pharmaceutical giant incriminating Test Reports that show their product to be unsafe Hack into air traffic control to help land multiple planes flying blind due to an AI glitch Stop an aggressive rogue nation from launching a nuke by accessing their submarine ' s computer systems Help leak a secret list containing the name of every single member of a controversial Neo - Nazi organization Bring justice to a murdered woman by identifying the killer in a case left cold by police inaction And many , many more ! Game Features : A gripping techno - thriller story about love , loss , and the lengths a parent would go to for their child Learn to think , act , and react like a hacker Choose how you respond in text chats with allies and foes alike , each with their own personality and agenda A wide variety of mind - racking levels , each with their own unique setting , puzzles , clues , twists and mini - games Read text logs , emails , journal notes and browsing histories that reveal the true nature of your targets behind the public mask they wear Clues , passwords , and solutions are randomized . Every play through is different ! GREYHAT aims to immerse you in its world . Play as yourself , with your own name , gender and hacker alias Collectibles in the form of side - stories , poems , wallpapers , and cryptocurrency can be found in each level An estimated playtime of 1 0 - 1 5 hours , depending on how good a detective you are","Adventure,Casual,Indie,Simulation"
"In the final chapter of this acclaimed horror trilogy , Black Mirror III picks up right where the thrilling ending to Black Mirror II left off . Only a short time ago , Darren Michaels was a quiet store clerk in a sleepy New England town . Now in Willow Creek , England , a tormented Darren barely reacts as police handcuffs are closed on his wrists . All the evidence points to him , and the police have arrested Darren as their primary suspect in a fatal crime . He ' s subjected to extensive questioning , but Darren is numb to the events occurring around him , and has withdrawn into a deep emptiness . Then after several weeks of incarceration , Darren is unexplainably released . But he is not free . Darren remains terrorized by sleepless nights , nightmare - like visions , and the chilling specter of murder and death , . Now alone , Darren must continue his search to uncover what has been happening to him and lift the veil on his clouded past . What has he really seen ? What do his torturous nightmares really mean ? Who is the mysterious person that posted the bail to set him free ? What demons lie waiting in the crypt ? Return to face the dark forces that haunt the ominous Black Mirror Castle as you search for the secrets that lie behind the tangled web of haunting riddles , mysterious secrets and dark characters . Alternate between two playable characters , as you explore over 1 0 0 highly detailed and atmospheric locations; interacting with over 5 0 characters in your quest for redemption . Dare to find the answers in the climactic final chapter of this epic trilogy - for once you gaze into the Black Mirror , you won ' t be able to look away . Features : In the final chapter in this acclaimed horror trilogy , Black Mirror III picks up right where the thrilling ending to Black Mirror II left off . Return to face the dark forces that haunt the ominous Black Mirror Castle as you search for the secrets the lie behind the tangled web of haunting riddles , mysterious secrets and dark characters . Alternate between two playable characters as you explore over 1 0 0 highly detailed and atmospheric locations , and interact with over 5 0 characters in your quest to find redemption . . Dare to find the answers in the climactic final chapter of this epic trilogy - for once you gaze into the Black Mirror , you won ' t be able to look away !",Adventure
"Cibele is a game based on a true story about love , sex , and the internet . You play as a 1 9 year old girl named Nina who has become close with a young man she met in an online game . Her relationship with him heats up , becoming more and more intimate with each phone call and private chat . The game unravels in three acts . The player plays as Nina , going into her online game , exploring her desktop , chatting with her friends and going about her daily life as she plays her online game . It is a narrative game which strives to help the player walk in Nina ' s shoes as she plays her online game , becoming more and more intimate with her lover as each act unfolds . Features 3 full acts . Based on a true story . Multiple short films offer an intimate glimpse into Nina ' s life . A richly illustrated and scored game world to explore called Valtameri , with multiple maps . A fully interactive desktop that changes over the course of the game , offering a glimpse into Nina ' s life outside of her online game . Recommendations and Notes The game takes about 1 . 5 to 2 hours to play through in full . It ' s recommended that you play it in one sitting . Headphones are recommended . The game is intended for mature audiences .",Indie
"Stitched is a horror adventure game that strings together the thrilling story of Catherine Stockholmes , an otherwise ordinary girl . The story begins with Catherine waking up in an eerie doll factory . With a great desire to escape , Catherine is forced to venture through the factory . But little does she know that terrible fates always befall the curious ones . Will Catherine muster enough courage to needle her way out of the factory ? Or will she fall into sheer despair and perish ? Catherine Stockholmes : An 1 8 year old girl with a sweet and honest personality . She was diagnosed with a serious heart condition at a young age . Her symptom will worsen whenever she is frightened . This can potentially lead to her passing out or worse , death . Doll : A mysterious doll that displays a calm and stoic expression . She seems to know more about the incident that occurred in the doll factory than she lets on . Boy : A strange but simple boy who is constantly searching for his missing parents . He seems to be seeking for more than just his parents . . . Compelling story : - Drives gameplay and exploration . Unsettling atmosphere : - Feel the suspense of not knowing what lies behind each door . Meticulously detailed , hand drawn cut scenes : - Original art brings scenes to life . Thoroughly developed characters : - Make decisions based on character actions and motives . Heart - stopping chase sequences : - Tread carefully . A variety of engaging puzzles : - Solve puzzles in order to progress as well as unlock secrets .","Adventure,Casual,Indie"
"Join anthropologist Alexia Crow in this introspective and insightful puzzle adventure . While traveling deep in a forest , she becomes trapped in a mysterious cave and soon finds out she ' s not alone . A centaur named Chiron also inhabits the cave , and his sole purpose is to train epic heroes . It was he who was responsible for the legendary heroics of Achilles and Hercules . Chiron will test Alexia ' s wit and cunning by forcing her to solve challenging puzzles , meant for only the world ' s greatest heroes . Join the millions who have already discovered the Alexia Crow series and regularly proclaim it to be one of the best adventure game series ever made ! Special Features Clever and original puzzles Solid Storyline full of twists Professional voice acting Astounding art","Adventure,Casual,Indie"
"Ladra is a stealth action adventure that tests your abilities as the ultimate thief . Estella lost her family at an early age due to war and disease . She escapes her foster parents only to stumble upon an old man that shelters her . He passes on his skills to her which she now uses to sneak around Brumine . Through the capital ' s dark streets she makes her way past guards stealing what she can grasp . After finding out the King ' s intention to start a war she decides to put her expertise to better use . Estella doesn ' t kill or incapacitate her enemies . Instead , she uses the shadows , her speed , and her intelligence to always be one step ahead . With a keen eye , she uses secret passages and tunnels to stay out of sight . With help from her friend Tonan , they ' ll do everything they can to put an end to the King ' s plan . Key Features Conceal yourself : Hide in places to avoid being seen . Remain undetected : Use the shadows to keep out of sight . Loot : Explore the levels to find all the hidden treasures . Steal : Steal from guards to get important items and precious loot . Secret Passages : Search for secret pathways in order to find treasure and new routes . Pure stealth : Be a ghost . Get in , get out . Undetected .","Action,Adventure,Indie"
"' This country needs more than a building right now . It needs hope . ' - Evey Hammond Replica is an interactive novel game played through a cellphone and social media . You are given a cellphone of an unknown owner . You must look for evidence of terrorism by hacking into the cellphone owner ' s account , under governmental coercion . Then inspecting the cellphone usage history and social media activity records . The insane experience of peeping into someone ' s private life through a cellphone will transform you into the state ' s greatest patriot . Features 1 2 Multiple Endings 8 Achievements","Adventure,Indie"
"Set in the ultra - exclusive world of the UN , International Affairs is a delightfully strange visual novel that challenges YOU to romance powerful heads of state while uncovering a mysterious threat to global security . With jaw - dropping dialogue choices , outrageous plot twists , and beautifully illustrated hand - drawn art , the prospect of achieving world peace has never been so sensual ! Choose from a dazzling array of globetrotting hunks including Drumpf , a brash , orange bully with a wall around his heart; Poutine , a sinister Russian leather daddy with a love of bears; Kim , a shy Asian dictator with a stockpile of rockets and not much else; Macaroon , a suave Casanova with a well earned rep for being the most romantic diplomat in town; and Justin Truffaut , the kind , considerate Canadian next door , and your childhood best friend . Featuring Unravel a shocking storyline stuffed full of secrets , with over a dozen unique endings to unlock ! Massive variety of branching paths , sidequests , and dates to explore Roughly 4 - 7 hours of gameplay per playthrough Hilarious and engaging dialogue A brightly illustrated world of colorful characters and wild CG ' s ! Booty shaking music Travel to exotic locales including Washington , Paris , Moscow , and more !","Adventure,Casual,Indie,RPG,Simulation"
"The Zodiac Constellations have gone berserk , and the cantankerous Kira the Star recruits you to help save the universe . Choose your affinity among the twelve Signs of the Zodiac , or create your own from scratch . Battle for the cosmos with a friend in a competitive Versus mode , team up in the cooperative SuperNova mode , or play solo in Story Mode against a challenging AI . Balanced with eSports in mind , but finished with a way - too - cute casual touch . You may even be able to convince your non - game - playing friends and relatives to play this PC game with you ! Story and Single Match Single Player Modes with adaptive AI that gets more difficult over time . Versus and SuperNova Multiplayer Modes where you can play competitive or cooperatively . Wager your stars in Cosmic Duel , or spend them to create your own Zodiac Signs . Create Custom Zodiac Signs with unique names , shapes , drop patterns , and intensities . Share your creations online ! Supports Multiple Controllers and Button Mapping so you can use your Xbox 3 6 0 Controller , PS 3 Controller , PS 4 Controller , keyboard , Steam Controller , mouse , touchscreen , and map them to your favorite play style !","Action,Casual,Indie"
"Element TD 2 is the culmination of 1 5 years of multiplayer tower defense development , with the original mod having been downloaded over 5 million times across WarCraft 3 , StarCraft 2 and Dota 2 . With dozens of towers , alongside an array of maps to test your defenses , this is a feature - packed standalone sequel prepared to challenge tower defense players . Let Elements Collide With 6 elements that combine to create 5 9 unique towers , you will need to anticipate incoming waves , their elements , and tailor your approach to maximize your defense . Each element has its own strengths and weaknesses , so choosing the right upgrade paths is crucial to winning . Cooperate To Conquer Work with up to 8 players to synergize your elemental choices , tower upgrades , and plan your placements . Together you will withstand the enemy assault against ever increasing waves , culminating in an endless boss battle . Test Your Fortitude The singleplayer campaign currently spans 2 8 missions to put even the most experienced Tower Defense player to the test . Take on unique maps , enemies , and bosses in a challenging gauntlet that provides an experience never before seen in Element TD . Features 5 9 Towers with unique abilities created through multiple elemental upgrade paths . Co - op mode lets up to 8 players team up at once . Campaign mode to hone your skills and survive against ever increasing challenges . 6 Elements to empower your towers to create powerful diverse defenses . 5 5 Waves to truly challenge your defenses , culminating in an endless boss . 2 6 Maps with unique biomes to test your tactics on diverse layouts . 1 0 Modifiers to significantly alter the gameplay to your liking . War mode places 2 sides head to head in one area . Global servers allow for cross - region multiplayer . Leaderboards to compete against other players for top score . Replay support to showcase your victories and learn strategies from others . Unlockable cosmetics allows you to customize your builder .","Indie,Strategy"
"In a world where inhabitants live in the sky on floating islands made of cubes , a disaster threatens to make the population fall into the depths . The magic paint that keeps the cubes stuck together is drying out . Lucien , a trainee painter , fights with others against the disaster by repainting the islands . Key features : Smart puzzles in 3 d in a zen world Magic paints with improbable powers , allowing many possibilities The little adventure of Lucien , a trainee painter travelling through the sky More than 1 0 0 levels to discover in 7 different skies",Indie
"Keep the signal alive Manipulate inputs by using unique modules and patching cables via a simple drag - and - drop system . Make your mark Prove yourself as the best machine whisperer by completing more than 4 0 puzzles and competing in our leaderboards . Control the interface Customize it to your preference with color palettes for cables and 3 different cable rendering styles . Let it synth in Take immersion to the next level with designs by Papernoise , who has designed modules for Mutable Instruments , Hexinverter , WMD , etc . Create your own puzzles Try out our puzzle designer or access other players ' creations via Steam Workshop . Stay tuned for our second major update , coming soon to a VCV rack near you : Experiment in sandbox mode A free - for - all playground without any constraint . Let your imagination go wild .",Simulation
"Black ido is a super suit that can change gravity and protect the main character named TSK from falling from a great height . Feature of game : Adventure with the change of gravity Collecting coins Convenient control Challenging levels Physics , doors , keys and traps . In the game you have to change the gravity and use the geometry of the level to solve puzzles .","Action,Adventure,Casual,Indie"
"After your plane flies through a strange rift and crashes , you awake under an unfamiliar sky . This is Sword City , a dark fantasy world that combines magic and technology . Explore , level up , make a perfect team , and slay monsters . But choose your allies carefully if you want to find a way home . In Stranger of Sword City , you must perfect your DRPG skills and navigate your way through Escario , a place of fantasy races , fierce monsters , and treacherous labyrinths . Explore labyrinths to slay the powerful Lineage Type monsters within and take their Blood Crystals to increase your power . Who you decide to trust , be it the Kingdom , Medell Co . , or the Strangers Guild , is entirely up to you . But choose wisely . Your fate depends on it .",RPG
"Swords and Crossbones : An Epic Pirate Story is a comedic role play adventure . Duke A . Blizzardo the most feared pirate in all the seas has kidnapped your friend and employer . Hook up with a zany crew of swindlers , cut throats , and hooligans in this whirlwind adventure involving ancient treasure , pirate lords , tourism , killer parrots , and mad mad monkeys . Explore the islands of the Antipodal Archipelago . Sail the three oceans , including the volcanic waters and the frozen seas . Find ancient shipwrecks , battle for lost treasure , build and upgrade your pirate ships to accommodate your ever increasing crew ! Organize and develop your own pirate island . An entire build mode lets you manage the exact layout and functionality of your hideaway as you use it as your base of operations for your escapades . Customize the load - out of each and every battle ready member of your pirate entourage . You ' ll need every sword , every buckler , and every ability you can spend your points on for the dangerous flintlock and cutlass filled battles that await you ! Tactical combat ! A well crafted turn based tactical RPG full of nuance and depth ! Upkeep your pirate island ! Build and expand , even turn it into a tourist attraction to rake in the dough ! Sail the ocean ! With over a dozen islands to explore , there ' s a lot to see , and to fight , there ' s monsters , treasures , and more ! The Antipodal Archipelago ! The island chain you ' ll pirate in is a strange place , the frozen waters to the north and the volcanic seas to the south have their own mysteries to be discovered ! Daring battles ! Defeat the ten pirate lords of the archipelago and stop their terrible reigns of terror ! A customizable crew ! Gather up miscreants and scalawags , each with their own set of skills and abilities to help you on your quest ! A grand adventure ! Discover the lost treasure of the Cenote , go on daring rescue missions , and battle interesting enemies and fauna , such as zombies , parrots , monkeys , royal soldiers , and more !","Adventure,RPG,Simulation,Strategy"
"2 0 4 8 is a classic puzzle with a simple goal; reach 2 0 4 8 . Move your tiles across the grid and merge identical numbers into one . Plan ahead and watch out for new tiles spawning , that may prevent you from joining your numbers . Play on different board sizes and compete with people from all over the world , for your place on the leaderboards . Build upon the original 2 0 4 8 , this new version expands the gameplay further with multiple board sizes , game modes , achievements , leaderboards , a night mode , cloud saves , and more ! FEATURES GAME MODES Compete for your place on the leaderboards in the classic game mode , now with multiple board sizes . Think fast and beat your best times in the new time trial game mode . BOARD SIZES Put your skills to the test on the new board sizes . Compete with people from all over the world and set your high score on the leaderboards for each board size . LEADERBOARDS Feeling competitive ? Show the world who ' s the best 2 0 4 8 with the integrated Steam Leaderboards . Compete for a place on the leaderboards for different board sizes or different game modes . ACHIEVEMENTS Unlock achievements as you progress on your 2 0 4 8 journey . NIGHT MODE 2 0 4 8 got you playing till the early morning ? Yeah , us too . Be kind to your poor eyes with the new soothing night mode . Just as beautiful as the original , but won ' t burn your retinas . THE ORIGINAL MADE BETTER 2 0 4 8 stays true to its roots and the core gameplay that made it such a cult classic . Expanding gameplay possibilities for both new and seasoned players is our main goal .","Casual,Indie,Strategy"
"Four nerds , drawn into a fantasy world and mistaken for heroes , have to battle their way through a massive , crazy adventure and defeat a preposterous villain ! Doom and Destiny is a turn based hilarious jrpg where you take control of a party of four everyday friends . Journey through an unpredictable story filled with parodies and cameos . Start your adventure in a classic dungeon with dragons , save princess with the help of green - dressed elf and then fly to manga - themed city with the help of a famous italian plumber . This is Doom and Destiny , the flying - spaghetti fantasy adventure ! Main Features : 2 0 hours of story and 2 0 hours of extras , adventures , side - quests , and more ! 1 0 0 levels of experience and nerdy customization Choose your nerdy leader to apply special bonuses to your party Share save files between mobiles and Steam More than 2 0 0 special powers and spells More than 3 0 0 enemies More than 5 0 0 items between potions , chips , weapons , shirts , and armor More than 7 0 0 locations , More than 1 0 , 0 0 0 lines of crazy dialog 4 4 Steam Achievements 7 Steam Cards 5 Steam Backgrounds 5 Steam Emoticon The one and only Epic Flying Spaghetti Monster ! ! !","Indie,RPG"
"The gates to another world will open soon ! You can stop the impending disaster , but to do so at all costs to return the stolen stamps ! Vanessa is the only heiress of Abraham Van Helsinga , a member of the secret order of light guarding the peace of our world . And now it has to find a stolen the runes that were sealed the gate , behind which lurks an ancient evil . Vanessa comes to Italy at the invitation of Archbishop Benedict , also comprised in the order of light . Using clues left by his grandfather , she can open the doors to other worlds and times where it will have to seek the powerful printing . In addition , Vanessa learns how to relate this story with her mysterious visions and the ghost of a mysterious a hunchback . Key features 6 0 locations 4 5 mini - games 2 6 HOG scenes 4 2 cinematics More than 2 0 0 objects to use !","Adventure,Casual"
"The story of Season Match starts when the Snow Queen has her magic mirror broken , and decides to make cold winter stay forever in the fairy - land . You will set out on a legendary journey to find the pieces of the broken mirror , put them together and beat the Snow Queen . Four seasons Over 2 5 0 missions Fantastic characters Easy - to - Play for all ages Learn - as - you - play tutorial Awesome music","Adventure,Casual"
"Have your own transportation company . Transport cargo throughout the country , face the problems of everyday life , and receive the best rewards . Coordinate cargo transportation and earn money for freight Choose the best trucks and buckets at the dealership and make your garage the best way for you and your company . Hire and control your employees and have the best people at your side to help the company grow . Manage your properties and expand your business . Control your finances and invest your surplus money in the bank , or in difficult times try to get a loan from the bank manager . Connect with other players online via chat and online market . Participate in online ranking competitions Manage your own life , with your needs Be a transportation entrepreneur , with control over everything in your business . Work , earn , invest and expand ! Success is a few trips away , are you ready ? Deal closed !","Casual,Indie,Simulation,Strategy"
"Let ' s super high jump through the screen ! 6 1 8 0 the moon is a platformer game with a unique mechanic . It offers a fresh , unseen game play style by connecting the top and bottom of the screen . This allows in a mechanic with delightfully long jumps and no fear of ' slipping ' to death . In addition to the unique gameplay , 6 1 8 0 the moon delivers a unique storyline . The Sun has gone . The Moon sets off on a journey to find the Sun . Along the journey will be hazardous courses and deep realizations .","Action,Casual,Indie"
"From the creator of Coffee Talk , in collaboration with Rolling Glory Jam the creator of Rage in Peace . What Comes After is a short experience , a heartwarming story , and a love letter to all of you who think you ' re a burden for other people . Help Vivi finds herself through the journey that takes her to where people go after they died , to what comes after . Ride the train filled with the souls of the people , animals , and plants that are on their way to leave this world , and talk to them to learn about love , regrets , life , and death that haunt us every day until our time has come . All presented in a light - hearted way with a sprinkle of comedy and philosophy . Features : A short heartwarming story that will stay in your heart and memory A personal journey of learning how to love yourself A tale filled with love and comedy Colorful art to accompany your journey in the train not bound for the living An easy to pick - up gameplay","Adventure,Casual,Indie"
"Smash Halloween Pumpkins : The Challenge is a 2 D Old School Action Platformer in which the mission of the player is to smash as many pumpkins as possible within a limited time period . Do you love smashing pumpkins ? This is the game for you ! Pumpkins have turned into Zombies and started eating on the human beings to avenge the death of their Pumpkin Brothers . So , the Leader of all the pumpkins commanded all of them to attack the human race with an ambition to rule over the world . But one man stands against the Pumpkins to eliminate all of them in a Stormy Halloween Night . Will he be able to accomplish his mission ? You need to eliminate a certain number of Pumpkins within a limited time period and unlock the door to go to the next level . If you can kill extra pumpkins , it will also count . Be the best at exploding Pumpkins ! Key Features : 1 5 Levels to Play ! Lots of enemies and traps . Two types of firing modes like shotgun and Rocket Launcher . Kill as many Pumpkins as you can within a limited time . 3 Boss Battles ! Challenging situations and hard to master . Unlock the door by killing the Pumpkin enemies . Note from the Developer : I have done all the graphics , pixel artwork , level design , programming myself except for the music . I hope you will enjoy the game .","Action,Adventure,Casual,Indie"
"' I have come to tell you that you are free . Many ages ago , My consciousness left man , that he might develop himself . I return to find this development approaching completion , but hindered by fear and by misunderstanding . ' Your final gift to humanity , stolen in it ' s final moments . An unheard of conspiracy spanning millennia snuffed in it ' s final act , only to be reborn . It ' s the 2 3 rd of May , 2 0 2 3 and you are about to end the world . Story You don ' t remember . A crashed van at the gates of a manor , a dead driver . A cold chilling fog pushes you towards the entrance where the door is curiously open . Reality ends here . Presented in a late 9 0 ' s low - poly style inspired by the fifth generation of games consoles , Eschaton is a short , surreal , first person exploration game set in the Scottish Highlands . Explore , analyse the environment , talk to beings who don ' t quite make sense , experience a short surreal trip that lasts until midnight . Eschaton uses an experimental audio technique , headphones are recommended . Featuring Simple gameplay with a experimental , surreal story A short experience which you can play at your own pace A meticulously recreated world presented in a low - poly aesthetic Atmospheric audio including binaural beats as an experimental game mechanic Surreal conspiracy themed lore that definitely doesn ' t include any hidden symbology or secrets","Action,Adventure,Casual,Indie"
"Work your way through the skyscraper to rescue your wife from terrorists in the digital adaptation of this solo card game . Manage the central row of cards , balancing when to hide and when to push your luck , collecting items and weapons , risking a fight , as you race against the clock . Explore your current location by drawing cards into the main row . Spend cards in the main row to activate another card in the row , gaining an item or weapon , rescuing a hostage , or moving to the next location . Some cards generate noise while in the main row; too much noise and the terrorists will attack ! Roll dice to fight the terrorists and overcome obstacles . Take the Hide action when the risk of terrorists attacking is too high , clearing the main row and losing time . Succeed in making it to the roof and rescuing your wife before you lose all your health or time runs out !",Indie
"Welcome , Killbug , to the underbelly of the insect realm , where the skittering masses are caught in an endless battle for dominance . You threatened them with your power . They clipped your wings and forced you into exile , but it was not enough to sate their hatred . A ravenous ambush awaits , and they want you dead . Blade and barrel hungry for blood . Thirsty for the sweet nectar of revenge . You will make them suffer , and from carapace to thorax , they will know pain . As the Killbug , use your insectoid instincts to dash , double - jump and wall - run your way around this brutal battleground . Combine these fluid movement mechanics to reach enemies in all areas of the map . Slash and shoot your way through droves of ravenous beasts . From beetles to spiders to a giant larvae monster , there are endless swarms for you to butcher as the Killbug . Become the master of death as you rise again and again , raining destruction on your foes and aiming for your next high score . Crush those bugs , over and over . FEATURES Battle a wide variety of savage insects . Destroy hundreds of bugs in fast - paced , brutal combat . Slash and shoot enemies with your blade and SMG . Utilize aerial movement mechanics to double - jump , melee - dash , gun - hover and more , quickly adapting to combat different enemy attacks . Sweat out a new high score on the global leaderboards , or compete to knock your friends off the top spot . ACCESSIBILITY KILLBUG features various accessibility settings for players who experience motion sickness .",Action
